origin_czone,n_trips,n_escorted,escort_rate,pop_count,pop_weight,escort_rate_pct
74,85,38,0.4470588235294118,0.0,0.0,44.7
75,44,19,0.4318181818181818,0.0,0.0,43.2
82,23,19,0.8260869565217391,0.0,0.0,82.6
91,60,35,0.5833333333333334,0.0,0.0,58.3
92,37,19,0.5135135135135135,0.0,0.0,51.4
93,128,78,0.609375,0.0,0.0,60.9
94,150,82,0.5466666666666666,0.0,0.0,54.7
95,56,20,0.35714285714285715,0.0,0.0,35.7
96,74,42,0.5675675675675675,0.0,0.0,56.8
97,72,46,0.6388888888888888,0.0,0.0,63.9
101,12,3,0.25,7.0,0.0012662807525325615,25.0
102,36,15,0.4166666666666667,18.0,0.003256150506512301,41.7
103,45,25,0.5555555555555556,15.0,0.0027134587554269174,55.6
104,44,21,0.4772727272727273,22.0,0.003979739507959479,47.7
141,104,70,0.6730769230769231,53.0,0.00958755426917511,67.3
142,137,66,0.48175182481751827,112.0,0.020260492040520984,48.2
151,62,32,0.5161290322580645,45.0,0.008140376266280752,51.6
152,95,53,0.5578947368421052,46.0,0.008321273516642547,55.8
171,125,68,0.544,123.0,0.022250361794500722,54.4
172,162,105,0.6481481481481481,89.0,0.01609985528219971,64.8
173,106,58,0.5471698113207547,99.0,0.017908827785817656,54.7
181,108,71,0.6574074074074074,61.0,0.011034732272069464,65.7
182,201,101,0.5024875621890548,142.0,0.02568740955137482,50.2
183,14,10,0.7142857142857143,1.0,0.0001808972503617945,71.4
191,71,37,0.5211267605633803,48.0,0.008683068017366137,52.1
192,104,50,0.4807692307692308,88.0,0.015918958031837915,48.1
201,65,39,0.6,47.0,0.008502170767004342,60.0
202,75,43,0.5733333333333334,52.0,0.009406657018813314,57.3
211,10,9,0.9,39.0,0.007054992764109986,90.0
221,128,66,0.515625,88.0,0.015918958031837915,51.6
231,191,93,0.4869109947643979,123.0,0.022250361794500722,48.7
232,129,68,0.5271317829457365,67.0,0.012120115774240232,52.7
251,13,8,0.6153846153846154,0.0,0.0,61.5
261,68,31,0.45588235294117646,56.0,0.010130246020260492,45.6
271,60,36,0.6,63.0,0.011396526772793054,60.0
272,116,70,0.603448275862069,101.0,0.018270622286541246,60.3
273,101,53,0.5247524752475248,52.0,0.009406657018813314,52.5
274,19,13,0.6842105263157895,26.0,0.004703328509406657,68.4
281,14,11,0.7857142857142857,2.0,0.000361794500723589,78.6
291,31,18,0.5806451612903226,23.0,0.0041606367583212735,58.1
292,45,21,0.4666666666666667,18.0,0.003256150506512301,46.7
311,46,22,0.4782608695652174,27.0,0.004884225759768451,47.8
312,33,17,0.5151515151515151,14.0,0.002532561505065123,51.5
313,30,15,0.5,9.0,0.0016280752532561505,50.0
314,57,35,0.6140350877192983,17.0,0.0030752532561505066,61.4
315,70,34,0.4857142857142857,51.0,0.00922575976845152,48.6
321,38,21,0.5526315789473685,44.0,0.007959479015918957,55.3
322,66,44,0.6666666666666666,38.0,0.006874095513748191,66.7
323,43,22,0.5116279069767442,29.0,0.005246020260492041,51.2
324,34,16,0.47058823529411764,6.0,0.001085383502170767,47.1
325,25,13,0.52,16.0,0.002894356005788712,52.0
331,196,117,0.5969387755102041,129.0,0.02333574529667149,59.7
332,145,80,0.5517241379310345,108.0,0.019536903039073805,55.2
341,97,58,0.5979381443298969,86.0,0.015557163531114327,59.8
342,148,83,0.5608108108108109,114.0,0.020622286541244574,56.1
343,111,72,0.6486486486486487,66.0,0.011939218523878437,64.9
371,119,71,0.5966386554621849,114.0,0.020622286541244574,59.7
372,93,59,0.6344086021505376,80.0,0.01447178002894356,63.4
381,118,61,0.5169491525423728,80.0,0.01447178002894356,51.7
382,174,105,0.603448275862069,135.0,0.024421128798842257,60.3
391,67,39,0.582089552238806,65.0,0.011758321273516642,58.2
401,62,33,0.532258064516129,53.0,0.00958755426917511,53.2
402,129,97,0.751937984496124,100.0,0.01808972503617945,75.2
403,42,27,0.6428571428571429,36.0,0.006512301013024602,64.3
411,144,101,0.7013888888888888,93.0,0.016823444283646887,70.1
412,64,44,0.6875,47.0,0.008502170767004342,68.8
413,33,16,0.48484848484848486,21.0,0.0037988422575976847,48.5
414,137,71,0.5182481751824818,108.0,0.019536903039073805,51.8
421,63,38,0.6031746031746031,56.0,0.010130246020260492,60.3
431,77,39,0.5064935064935064,44.0,0.007959479015918957,50.6
